,price,location,total_sqft,bhk,bath
259,4250000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1120.0,2.0,2.0
260,5000000.0,"Greater Noida West, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",1245.0,3.0,3.0
261,3000000.0,"Greater Noida West, Noida, Delhi NCR",899.0,2.0,2.0
262,3220000.0000000005,"Greater Noida West, Noida, Delhi NCR",920.0,2.0,2.0
263,4250000.0,"Greater Noida West, Noida, Delhi NCR",1000.0,2.0,2.0
264,4800000.0,"Greater Noida West, Noida, Delhi NCR",1350.0,2.0,2.0
265,5300000.0,"Greater Noida West, Noida, Delhi NCR",1412.0,3.0,3.0
266,5200000.0,"Greater Noida West, Noida, Delhi NCR",1190.0,3.0,2.0
267,7000000.0,"Greater Noida West, Noida, Delhi NCR",1600.0,3.0,3.0
268,3500000.0,"Greenfield Colony, Faridabad, Delhi NCR",800.0,2.0,2.0
269,5000000.0,"Greenfield Colony, Faridabad, Delhi NCR",1200.0,3.0,2.0
270,8500000.0,"Greenfield Colony, Faridabad, Delhi NCR",2337.0,4.0,3.0
271,7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,2.0,2.0
272,5600000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929.0,2.0,2.0
273,7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1380.0,2.0,2.0
274,7000000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1097.0,2.0,2.0
275,8700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1500.0,3.0,3.0
276,6900000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1097.0,2.0,2.0
277,7350000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1300.0,3.0,2.0
278,4200000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",800.0,2.0,2.0
279,9900000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",1883.0,4.0,3.0
280,3800000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",800.0,2.0,2.0
281,5100000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",1100.0,2.0,2.0
282,8500000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",1650.0,3.0,3.0
283,3500000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",800.0,2.0,2.0
284,5400000.0,"Gyan Khand 1, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
285,8000000.0,"Hari Nagar, New Delhi - West, Delhi NCR",1000.0,3.0,2.0
286,5000000.0,"Hari Nagar, New Delhi - West, Delhi NCR",650.0,2.0,2.0
287,8500000.0,"Hari Nagar, New Delhi - West, Delhi NCR",1050.0,2.0,2.0
288,4800000.0,"Hari Nagar, New Delhi - West, Delhi NCR",680.0,3.0,2.0
289,5700000.0,"Hari Nagar, New Delhi - West, Delhi NCR",650.0,2.0,2.0
290,12500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 1, Ghaziabad, Delhi NCR",1836.0,3.0,3.0
291,8500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 1, Ghaziabad, Delhi NCR",1350.0,3.0,2.0
292,7500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 1, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
293,7500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 1, Ghaziabad, Delhi NCR",1080.0,2.0,2.0
294,4500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 2, Ghaziabad, Delhi NCR",946.0,2.0,2.0
295,7900000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 2, Ghaziabad, Delhi NCR",1575.0,3.0,2.0
296,8500000.0,"Indirapuram, Ghaziabad, Ahinsa Khand 2, Ghaziabad, Delhi NCR",1592.0,3.0,2.0
298,3800000.0,"Indirapuram, Ghaziabad, Delhi NCR",887.0,2.0,2.0
299,9800000.0,"Indirapuram, Ghaziabad, Delhi NCR",1850.0,4.0,3.0
301,5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,3.0,2.0
302,5000000.0,"Indirapuram, Ghaziabad, Delhi NCR",960.0,2.0,2.0
303,5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",960.0,2.0,2.0
304,9200000.0,"Indirapuram, Ghaziabad, Delhi NCR",1660.0,3.0,3.0
305,4500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
306,5050000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
307,9500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1650.0,3.0,3.0
308,3500000.0,"Indirapuram, Ghaziabad, Delhi NCR",800.0,2.0,2.0
309,5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,3.0,2.0
310,8250000.0,"Indirapuram, Ghaziabad, Delhi NCR",1550.0,3.0,2.0
311,3800000.0,"Indirapuram, Ghaziabad, Delhi NCR",850.0,2.0,2.0
312,3300000.0,"Indirapuram, Ghaziabad, Delhi NCR",700.0,2.0,2.0
315,9000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1620.0,3.0,2.0
316,4000000.0,"Indirapuram, Ghaziabad, Delhi NCR",800.0,2.0,2.0
317,10000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1950.0,4.0,4.0
318,4800000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
319,4300000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
320,9000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1700.0,3.0,2.0
321,4200000.0,"Indirapuram, Ghaziabad, Delhi NCR",850.0,2.0,2.0
322,4200000.0,"Indirapuram, Ghaziabad, Delhi NCR",850.0,2.0,2.0
323,9000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1560.0,3.0,2.0
325,4500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
326,5000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1150.0,2.0,2.0
328,7100000.0,"Indirapuram, Ghaziabad, Delhi NCR",1450.0,3.0,3.0
330,7000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1200.0,3.0,2.0
331,3800000.0,"Indirapuram, Ghaziabad, Delhi NCR",850.0,2.0,2.0
332,4200000.0,"Indirapuram, Ghaziabad, Delhi NCR",950.0,2.0,2.0
334,5500000.0,"Indirapuram, Ghaziabad, Delhi NCR",1100.0,3.0,2.0
335,6820000.0,"Indirapuram, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
337,6200000.0,"Indirapuram, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
338,6800000.0,"Indirapuram, Ghaziabad, Delhi NCR",1240.0,2.0,2.0
339,3900000.0,"Indirapuram, Ghaziabad, Delhi NCR",800.0,2.0,2.0
340,7200000.0,"Indirapuram, Ghaziabad, Delhi NCR",1400.0,3.0,2.0
341,5000000.0,"Indirapuram, Ghaziabad, Delhi NCR",1120.0,2.0,2.0
